TIPLOC,NAME,EASTING,NORTHING
STHBDRS,SOUTH BANK TEES DOCK (DRS),456208,523118
STIRCHJ,CAUSEWAYHEAD JUNCTION,279906,694559
STIRUPL,STIRLING U.P.L.,280186,692717
STKG589,STOKE GIFFORD SIG B589,361982,179689
STKYJN,STOCKLEY JUNCTION,508116,179698
WNDS84,WANDSWORTH ROAD SIG VS84,529430,176172
WOKI608,WOKING SIGNAL WK608,500514,158609
WOLEYCS,WOOLLEY COAL SDGS S.B.,430654,411323
WOOL255,WOOL SIGNAL PW5255,386342,86982
WOOL264,WOOL SIGNAL PW5264,384094,86825
WOOL659,WOOL SIGNAL PW5659,384888,86939
WORC34,WORCESTER SIG TJ34,385913,255889
WORCBRD,WORCESTER BACK ROAD,385788,255230
WORCHER,WORCESTER HEREFORD SIDINGS,385865,254970
WORCMSD,WORCESTER MIDDLE SIDING,385816,255133
WORCMSH,WORCS MIDDLE SDG HEADSHUNT,385776,255274
WORCS52,WORCS SHRUB HILL SIG 52,385892,254896
WORCS54,WORCESTER SIGNAL 54,385889,254903
WORCS67,WORCESTER SIGNAL 67,386007,254607
WRGWOJN,WALTON CANAL SIDINGS FHH,359612,386171
WRUIGJN,RUISLIP GARDENS JUNCTION,509261,186369
WSBRNRJ,WESTBOURNE ROAD JUNCTION,531033,184505
WSTB707,WESTBURY GROUND SIGNAL 707,385900,151619
WSTB722,WESTBURY GROUND SIGNAL 722,386450,152390
WSTB753,WESTBURY GROUND SIGNAL 753,387862,145245
WTSLNJN,WEIGHTS LANE JUNCTION,403357,269611
WVRM106,WOLVERHAMPTON SIG WN106,392206,298778
WVRM118,WOLVERHAMPTON SIGNAL 118,392604,298913
WVRM273,WOLVERHAMPTON SIG BW1273,392410,298677
WVRM294,WOLVERHAMPTON SIG WS1294,391829,299100
WVRM300,WOLVERHAMPTON SIG WS1300,391792,299266
WVRM66,WOLVERHAMPTON 66 SIG,391792,299266
WVRM71,WOLVERHAMPTON SIG WN71,391829,299100
WVRM74,WOLVERHAMPTON SIG 74,391864,299005
